query,Run,containment
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR4333983.sig',0.03816793893129771
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR17547361.sig',0.0916030534351145
'FV_PB189-T1-4_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR17547361.sig',0.03731343283582089
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR2014370.sig',0.3511450381679389
'FV_PB189-T1-4_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR2014370.sig',0.14925373134328357
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR3209892.sig',0.022900763358778626
'FV_PB189-T1-4_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR3209892.sig',0.011194029850746268
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR3184791.sig',0.015267175572519083
'S26','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR738546.sig',0.013547646383467279
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR532600.sig',0.5877862595419847
'FV_PB189-T1-4_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR532600.sig',0.055970149253731345
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR7716742.sig',0.12213740458015267
'C3_T13_0','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR16548392.sig',0.014571948998178506
'S26','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR16548392.sig',0.035361653272101036
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR10258545.sig',0.015267175572519083
'FV_PB189-T1-4_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/SRR10258545.sig',0.011194029850746268
'FV_DSM_15829_genome','/group/ctbrowngrp/irber/data/wort-data/wort-sra/sigs/ERR3209927.sig',0.022900763358778626
